time,no,name,lon,lat,humidity,t2mm,t2mmMin,t2mmMax
20181124113000,59097,新丰观测站,114.20,24.05,81,16.7,16.7,17.1
20181124113000,57989,仁化观测站,113.73,25.10,94,15,15,15.3
20181124113000,59090,始兴观测站,114.06,24.95,79,16.7,16.7,17.5
20181124113000,59082,曲江观测站,113.60,24.67,92,15.2,15.2,15.7
20181124113000,57988,乐昌观测站,113.35,25.15,75,16.9,16.9,17.1
20181124113000,57996,南雄观测站,114.31,25.13,83,15.9,15.9,16.4
20181124113000,59081,乳源观测站,113.26,24.78,89,15,15,16
20181124113000,59094,翁源观测站,114.11,24.36,83,16.7,16.7,17.5
20181124113000,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,16.7,16.6,17.2
20181124113000,G1401,市气象局,113.5572,24.7975,85,15.5,15.5,16
